og_id,timestamp,machine_id,os,file_path,malware_type,detection_method,scan_type,action_taken,severity,file_size_kb,is_persistent,network_activity
6660ea42-5462-40e3-9e89-34dd37e6fe9c,27-05-2025 10:16,Machine_14,Windows 11,C:/Users/User46/Downloads/file_4078.bat,Trojan,Signature-based,Custom Scan,Blocked,Medium,2859.38,1,1
c5a399f8-23ed-4201-9c0f-98180e0e094f,04-06-2025 01:40,Machine_13,Windows 11,C:/Users/User47/Downloads/file_5123.js,Spyware,Signature-based,Full Scan,Blocked,Medium,3881.02,0,0
52551727-fb4f-460d-b402-c6a8e6ed0288,24-06-2025 15:51,Machine_77,macOS,C:/Users/User34/Downloads/file_6532.exe,Keylogger,Behavioral,Full Scan,Blocked,Medium,3150.04,0,0
1006f60a-9bf7-4cc7-be9f-d796966f5ec1,20-05-2025 10:45,Machine_59,macOS,C:/Users/User41/Downloads/file_4083.js,Worm,Sandbox,Full Scan,Quarantined,Low,4387.34,0,1
32f0f71c-5d4f-4f13-b84d-150a48f99325,28-05-2025 15:38,Machine_55,macOS,C:/Users/User2/Downloads/file_8835.pdf,Worm,Sandbox,Custom Scan,Deleted,High,4873.23,0,1
1ad03ef0-2bcf-4c15-a005-83789f9fcd9c,22-05-2025 20:59,Machine_84,Windows 11,C:/Users/User42/Downloads/file_3797.xlsx,Worm,Heuristic,Quick Scan,Blocked,Medium,928.21,0,1
10fe1f71-952c-4176-a47e-dce7655c1c48,09-06-2025 08:34,Machine_40,Windows 10,C:/Users/User7/Downloads/file_9917.dll,Ransomware,Behavioral,Full Scan,Deleted,High,3805.09,1,0
db683b8b-ae85-4a52-a7d2-52278baf38e3,12-05-2025 23:48,Machine_21,Windows 7,C:/Users/User16/Downloads/file_7026.exe,Ransomware,Sandbox,Full Scan,Ignored,Low,594.49,1,0
ded76aff-f482-487d-aa69-4e1eef9570dd,11-06-2025 15:46,Machine_54,Windows 7,C:/Users/User1/Downloads/file_5669.dll,Ransomware,Sandbox,Full Scan,Deleted,Low,4486.79,1,0
ab1688f6-680d-4711-970d-29de1201c317,10-06-2025 01:27,Machine_40,Windows 11,C:/Users/User20/Downloads/file_6321.dll,Trojan,Heuristic,Full Scan,Quarantined,Low,140.67,0,1
cd00accd-75b4-4d88-ab23-d4682685d0bc,16-06-2025 05:13,Machine_41,Linux,C:/Users/User18/Downloads/file_3969.pdf,Trojan,Heuristic,Quick Scan,Blocked,Critical,3557.07,1,1
0010cddb-20f5-41e0-9a10-08b21e667fbd,26-05-2025 19:44,Machine_100,Windows 11,C:/Users/User37/Downloads/file_6684.docx,Spyware,Sandbox,Quick Scan,Ignored,Low,4174.65,0,0
9bd9300d-dcc7-4ea9-b4d5-975b87d90544,01-06-2025 09:05,Machine_40,Windows 11,C:/Users/User18/Downloads/file_3437.xlsx,Trojan,Sandbox,Full Scan,Deleted,Medium,1354.44,0,0
cf77cc98-07fc-4a02-95d7-171e3097f5cd,08-06-2025 02:50,Machine_87,Linux,C:/Users/User35/Downloads/file_4769.docx,Ransomware,Heuristic,Full Scan,Ignored,Low,4695.66,1,1
cc69df19-2399-44fd-97aa-6a9dce5a3242,03-06-2025 16:47,Machine_94,Windows 10,C:/Users/User33/Downloads/file_8121.js,Ransomware,Heuristic,Full Scan,Deleted,Medium,1921.68,0,1
37846052-eb6c-477d-8071-211446b20153,12-06-2025 08:28,Machine_3,macOS,C:/Users/User18/Downloads/file_4345.js,Trojan,Behavioral,Quick Scan,Ignored,High,4396.29,1,0
318ff6d0-e049-434b-be2d-d2b838dab776,03-06-2025 03:36,Machine_73,macOS,C:/Users/User39/Downloads/file_7913.xlsx,Rootkit,Heuristic,Full Scan,Quarantined,Critical,2027.26,0,1
f697af3f-5252-46ec-99a5-b02f1462ae96,23-06-2025 11:00,Machine_16,Linux,C:/Users/User34/Downloads/file_4299.exe,Trojan,Behavioral,Full Scan,Deleted,Critical,1065.27,1,1
47da1072-aed4-4083-ad4c-310fda047aa3,18-06-2025 00:38,Machine_86,macOS,C:/Users/User34/Downloads/file_8104.bat,Backdoor,Behavioral,Full Scan,Quarantined,Critical,3505.48,1,0
8c2abd4a-c117-4555-adc8-6bdd7772717d,21-06-2025 01:29,Machine_75,Windows 10,C:/Users/User6/Downloads/file_5273.scr,Worm,Signature-based,Quick Scan,Deleted,High,3981.61,1,0
e944a53e-6ab0-4f24-ab45-aa8a9c2184d4,11-06-2025 16:37,Machine_51,macOS,C:/Users/User23/Downloads/file_7862.bat,Rootkit,Signature-based,Custom Scan,Ignored,Low,2716.38,1,0
fd145cc8-6fa3-4e34-9dfe-cabcfbde3b33,19-05-2025 07:30,Machine_50,macOS,C:/Users/User43/Downloads/file_5792.xlsx,Adware,Heuristic,Full Scan,Deleted,High,3055.43,1,1
72f83dc9-ad2d-4dc9-b484-61f501f8b297,11-05-2025 19:26,Machine_36,Windows 7,C:/Users/User49/Downloads/file_1272.js,Keylogger,Sandbox,Custom Scan,Deleted,Critical,1719.06,0,0
e0df776e-e463-4fcc-a6b5-6ca0f814c56c,04-06-2025 15:50,Machine_23,Linux,C:/Users/User28/Downloads/file_2181.scr,Adware,Behavioral,Full Scan,Quarantined,High,4795.04,0,1
f944c4c3-bb82-4422-807b-e38dbc6e81ea,15-05-2025 09:47,Machine_88,Windows 11,C:/Users/User35/Downloads/file_6303.scr,Keylogger,Heuristic,Full Scan,Ignored,Low,3147.78,0,1
4f6fb002-d1d5-4556-88a4-610b2c00a09e,04-07-2025 15:07,Machine_32,macOS,C:/Users/User36/Downloads/file_1848.bat,Spyware,Behavioral,Custom Scan,Ignored,Medium,99.63,0,0
c8198df1-9a99-431f-af29-19992ab58e0e,17-05-2025 17:10,Machine_98,Windows 11,C:/Users/User29/Downloads/file_9999.bat,Rootkit,Signature-based,Custom Scan,Deleted,Low,3796.66,1,0
2b26926b-4eec-4e63-90a8-09d8e3348a94,26-06-2025 13:08,Machine_59,Windows 7,C:/Users/User34/Downloads/file_7161.scr,Trojan,Heuristic,Full Scan,Ignored,Critical,737.67,0,1
3e192863-370a-4843-8ba9-402c1dbf53f6,30-05-2025 22:27,Machine_33,Windows 7,C:/Users/User44/Downloads/file_5608.docx,Ransomware,Sandbox,Custom Scan,Blocked,Medium,1166.98,0,0
6dd90f7a-b6ae-48c3-8c44-256ab38beb06,29-05-2025 01:07,Machine_29,Windows 7,C:/Users/User29/Downloads/file_7908.dll,Backdoor,Signature-based,Full Scan,Deleted,Low,4430.11,1,1
a5a59961-8b37-4e40-89b4-fefc52331c1d,13-06-2025 16:38,Machine_60,macOS,C:/Users/User28/Downloads/file_3835.bat,Adware,Sandbox,Quick Scan,Blocked,Critical,2693.22,0,1
44fce1b9-8ce5-4006-a64e-d4ff3d060af8,27-06-2025 03:31,Machine_34,macOS,C:/Users/User50/Downloads/file_7133.xlsx,Ransomware,Heuristic,Full Scan,Ignored,Medium,2939.23,0,1
1160bbb3-444b-4bed-9dbb-aabcac47c844,23-06-2025 15:10,Machine_33,Windows 10,C:/Users/User49/Downloads/file_4932.scr,Keylogger,Sandbox,Full Scan,Blocked,High,129.99,0,0
1b3a4fb4-4015-46dd-9434-e136fc212a25,25-06-2025 14:31,Machine_54,macOS,C:/Users/User23/Downloads/file_2319.xlsx,Backdoor,Behavioral,Quick Scan,Ignored,Low,384.78,1,0
0d429090-2673-4047-86a5-1e8ff50fa8b7,30-05-2025 04:35,Machine_8,Linux,C:/Users/User38/Downloads/file_1953.exe,Trojan,Behavioral,Custom Scan,Quarantined,Critical,1866.14,1,0
178b3b45-1051-4fca-a284-e3b5a4f59f7d,02-06-2025 12:17,Machine_96,Windows 7,C:/Users/User47/Downloads/file_5315.js,Spyware,Behavioral,Custom Scan,Blocked,High,1233.78,0,0
e32201d6-f356-4799-8aef-b80e8b4848b4,22-05-2025 15:14,Machine_53,macOS,C:/Users/User3/Downloads/file_1220.exe,Ransomware,Sandbox,Quick Scan,Quarantined,Low,304.35,0,1
1ebe23cc-053a-4710-b72c-97eb029ca9f8,14-06-2025 02:45,Machine_54,Windows 10,C:/Users/User6/Downloads/file_9222.bat,Rootkit,Signature-based,Quick Scan,Quarantined,High,2514.4,1,1
d846b2a1-cd77-4dd0-9ecf-aa66609d6a52,18-06-2025 00:14,Machine_55,Windows 10,C:/Users/User20/Downloads/file_6020.scr,Backdoor,Sandbox,Quick Scan,Blocked,Critical,3346.3,1,1
3d004b72-a983-4f66-869d-a568b0e714f9,18-06-2025 23:07,Machine_52,macOS,C:/Users/User36/Downloads/file_3412.exe,Rootkit,Heuristic,Full Scan,Blocked,High,4889.86,1,0
08db268d-5c35-4d31-b2b5-e127d4ff71b0,30-06-2025 03:25,Machine_83,Linux,C:/Users/User5/Downloads/file_5525.pdf,Spyware,Heuristic,Quick Scan,Deleted,Medium,2484.42,1,0
a8cc379a-f54c-4397-8a03-9e16733f49ee,09-06-2025 15:16,Machine_36,macOS,C:/Users/User44/Downloads/file_4964.bat,Adware,Heuristic,Quick Scan,Ignored,Low,1775.99,0,0
30d3972a-d990-4718-b981-9a8a95169a30,30-06-2025 15:29,Machine_50,macOS,C:/Users/User3/Downloads/file_6051.scr,Ransomware,Sandbox,Quick Scan,Deleted,Low,1270.39,1,0
76cf4e40-a7b7-4a98-97d4-67ca5d9755f1,04-06-2025 08:31,Machine_59,Windows 7,C:/Users/User20/Downloads/file_3100.exe,Spyware,Behavioral,Custom Scan,Ignored,High,520.04,0,0
978919d4-c127-482f-bc30-f1bcedc24a5c,27-06-2025 23:40,Machine_62,Windows 11,C:/Users/User23/Downloads/file_2344.bat,Keylogger,Behavioral,Full Scan,Blocked,High,482.08,0,0
8c32d992-df24-4e26-a5e2-7cb55aac53ef,14-06-2025 13:56,Machine_10,Linux,C:/Users/User44/Downloads/file_4078.exe,Adware,Behavioral,Custom Scan,Ignored,Medium,1341.34,1,1
a3371e1c-ff47-4352-b855-8edb3d816733,30-06-2025 21:30,Machine_11,Windows 7,C:/Users/User14/Downloads/file_9638.js,Adware,Signature-based,Full Scan,Ignored,High,4384.74,0,1
b6fe8793-d5ac-4ad8-b822-c8e723a32bcb,17-05-2025 09:02,Machine_22,Linux,C:/Users/User25/Downloads/file_6411.js,Worm,Sandbox,Full Scan,Ignored,Medium,1079.59,0,0
3667db66-2a64-4f1f-9abf-38870a53474c,31-05-2025 09:25,Machine_40,Linux,C:/Users/User49/Downloads/file_2502.exe,Trojan,Heuristic,Custom Scan,Quarantined,High,4331.41,0,1
7c2048ed-32e2-4abf-b1f2-1fa2f29303b5,22-05-2025 08:14,Machine_91,Linux,C:/Users/User12/Downloads/file_6107.pdf,Worm,Behavioral,Custom Scan,Blocked,Medium,4890.48,0,0
81fa1392-9f02-4a6f-96e8-a7eb2cd8c44b,26-05-2025 20:01,Machine_9,Linux,C:/Users/User21/Downloads/file_3535.scr,Spyware,Behavioral,Quick Scan,Quarantined,High,3620.03,0,0
cb68da95-d966-4f76-9477-d3299a7bf6bd,03-06-2025 05:16,Machine_11,Windows 7,C:/Users/User42/Downloads/file_6838.js,Spyware,Signature-based,Quick Scan,Ignored,Medium,199.76,0,1
6070c71d-d2c4-4b61-899c-52bd84bf0a56,07-06-2025 19:40,Machine_2,macOS,C:/Users/User29/Downloads/file_9729.dll,Worm,Signature-based,Custom Scan,Blocked,High,3071.49,1,1
2039d9b3-58c7-4431-87d1-d1e915f49a92,10-06-2025 01:06,Machine_59,macOS,C:/Users/User48/Downloads/file_8080.docx,Ransomware,Behavioral,Full Scan,Quarantined,Medium,2990.19,0,0
2f33bcff-62cc-4642-8693-35ae25c7f7dc,18-06-2025 11:28,Machine_79,Linux,C:/Users/User18/Downloads/file_6590.pdf,Trojan,Sandbox,Full Scan,Quarantined,Low,119.42,0,1
a61f325a-38db-4378-8b94-55686d969193,15-06-2025 22:42,Machine_89,Linux,C:/Users/User6/Downloads/file_1282.exe,Adware,Heuristic,Custom Scan,Ignored,Medium,4001.31,0,1
da8e8a10-3607-45aa-846e-c78068bed81a,30-06-2025 23:54,Machine_19,macOS,C:/Users/User33/Downloads/file_3063.pdf,Worm,Sandbox,Full Scan,Blocked,Medium,3253.67,1,1
e6dacdd2-2b0e-494f-8421-9442d35ac58b,24-05-2025 04:13,Machine_4,Linux,C:/Users/User13/Downloads/file_5439.scr,Worm,Signature-based,Quick Scan,Ignored,Medium,700.07,1,1
5af094ba-e0b3-4282-8611-b82945f12ebe,22-05-2025 13:46,Machine_98,Windows 11,C:/Users/User36/Downloads/file_8468.exe,Spyware,Heuristic,Quick Scan,Quarantined,Low,4801.01,1,1
b41dab3f-97cc-437d-95d5-64f684eeab81,03-07-2025 06:13,Machine_44,Linux,C:/Users/User32/Downloads/file_3110.xlsx,Spyware,Sandbox,Quick Scan,Deleted,High,446.42,1,0
a4ba3204-a837-440a-98b9-be9b35350751,14-05-2025 08:08,Machine_43,Linux,C:/Users/User42/Downloads/file_1377.pdf,Keylogger,Signature-based,Full Scan,Quarantined,High,2764.33,0,0
b3ca72d5-dca7-48ee-8888-a67af05b9c92,04-06-2025 10:50,Machine_2,macOS,C:/Users/User23/Downloads/file_5922.scr,Ransomware,Sandbox,Full Scan,Ignored,Low,3591.5,0,1
