session_id,username,remote_address,remote_port,status,timestamp,hour,day_of_week,username_enc,remote_address_enc,status_enc,anomaly,cluster
2034-6509,remote,172.16.0.208,3389,disconnected,2025-07-28 09:40:23,9,0,6,375,1,1,2
9343-2606,remote,203.0.113.40,3389,connected,2025-07-24 06:45:47,6,3,6,1205,0,1,0
6206-1603,guest,198.51.100.250,3389,disconnected,2025-07-16 10:11:08,10,2,3,930,1,1,0
1900-4285,test,203.0.113.252,3389,disconnected,2025-07-25 00:13:31,0,4,8,1186,1,1,1
7720-8947,john,198.51.100.161,3389,failed,2025-07-21 08:56:19,8,0,4,831,2,1,1
9221-3681,bob,192.168.1.122,3389,failed,2025-07-22 07:12:47,7,1,2,534,2,1,1
5493-3473,rdp_user,192.168.1.43,3389,failed,2025-07-21 02:34:29,2,0,5,700,2,1,1
3430-7606,guest,10.0.0.198,3389,connected,2025-07-22 14:00:03,14,1,3,109,0,1,2
2982-1312,root,203.0.113.24,3389,disconnected,2025-07-09 03:59:10,3,2,7,1172,1,1,1
2756-3119,alice,10.0.0.71,3389,failed,2025-07-20 16:33:24,16,6,1,223,2,1,2
7574-7062,guest,10.0.0.83,3389,disconnected,2025-07-14 17:15:16,17,0,3,236,1,1,2
5805-7340,rdp_user,198.51.100.214,3389,failed,2025-07-03 21:33:01,21,3,5,890,2,1,0
1967-1032,bob,203.0.113.129,3389,disconnected,2025-07-11 01:31:50,1,4,2,1049,1,1,1
6501-1349,guest,172.16.0.179,3389,disconnected,2025-07-23 12:02:08,12,2,3,342,1,1,2
5014-7715,bob,172.16.0.103,3389,disconnected,2025-07-09 04:52:29,4,2,2,259,1,1,1
5876-1064,remote,198.51.100.81,3389,disconnected,2025-07-12 15:51:31,15,5,6,996,1,1,0
9511-6804,alice,192.168.1.192,3389,disconnected,2025-07-12 19:09:32,19,5,1,611,1,1,0
1171-8978,guest,203.0.113.125,3389,connected,2025-07-09 20:39:36,20,2,3,1045,0,1,0
2228-9213,user1,172.16.0.110,3389,disconnected,2025-07-23 18:02:21,18,2,9,267,1,1,2
9939-8366,test,10.0.0.187,3389,connected,2025-07-10 12:39:57,12,3,8,97,0,1,2
7651-4108,alice,172.16.0.160,3389,connected,2025-07-27 00:35:24,0,6,1,322,0,-1,1
2796-3689,rdp_user,192.168.1.230,3389,disconnected,2025-07-17 01:47:23,1,3,5,654,1,1,1
5459-9775,test,192.168.1.47,3389,connected,2025-07-14 04:25:38,4,0,8,704,0,1,1
5092-4308,john,192.168.1.80,3389,failed,2025-07-06 21:00:40,21,6,4,741,2,1,0
2058-6349,rdp_user,10.0.0.96,3389,disconnected,2025-07-28 00:54:32,0,0,5,250,1,1,1
5149-2599,guest,172.16.0.160,3389,failed,2025-07-20 04:43:50,4,6,3,322,2,1,1
5042-1136,test,192.168.1.181,3389,disconnected,2025-07-15 13:23:41,13,1,8,599,1,1,2
9439-3389,admin,172.16.0.123,3389,connected,2025-07-08 17:29:32,17,1,0,281,0,1,2
7383-1936,alice,203.0.113.184,3389,connected,2025-07-28 05:22:01,5,0,1,1110,0,1,1
5339-3467,user1,10.0.0.66,3389,failed,2025-07-30 17:21:25,17,2,9,217,2,1,2
5052-6954,bob,172.16.0.9,3389,connected,2025-07-22 09:23:20,9,1,2,497,0,1,1
6617-5425,user1,192.168.1.246,3389,disconnected,2025-07-05 05:40:09,5,5,9,671,1,1,1
9910-1421,admin,192.168.1.81,3389,failed,2025-07-10 20:07:17,20,3,0,742,2,1,0
8167-8941,user1,203.0.113.15,3389,connected,2025-07-16 12:05:59,12,2,9,1072,0,1,0
4589-6882,user1,172.16.0.96,3389,connected,2025-07-12 23:32:22,23,5,9,504,0,1,2
3900-5515,alice,192.168.1.175,3389,connected,2025-07-22 03:24:10,3,1,1,592,0,1,1
6707-5940,test,172.16.0.195,3389,connected,2025-07-17 16:49:10,16,3,8,360,0,1,2
8559-7238,user1,192.168.1.161,3389,disconnected,2025-07-16 21:26:44,21,2,9,577,1,1,2
5600-8206,root,198.51.100.190,3389,disconnected,2025-07-19 08:55:47,8,5,7,863,1,1,1
1108-8512,user1,203.0.113.82,3389,connected,2025-07-22 00:07:00,0,1,9,1251,0,-1,1
1180-5740,test,172.16.0.166,3389,connected,2025-07-09 19:35:07,19,2,8,328,0,1,2
2720-6965,guest,203.0.113.185,3389,disconnected,2025-07-21 07:23:50,7,0,3,1111,1,1,1
3092-1864,test,192.168.1.170,3389,failed,2025-07-12 06:15:05,6,5,8,587,2,1,1
9760-2055,admin,198.51.100.126,3389,failed,2025-07-25 17:14:57,17,4,0,792,2,1,0
4672-5363,test,192.168.1.230,3389,failed,2025-07-01 03:32:57,3,1,8,654,2,1,1
5656-3477,guest,198.51.100.199,3389,disconnected,2025-07-01 09:23:17,9,1,3,872,1,1,1
7520-1535,alice,203.0.113.71,3389,connected,2025-07-02 02:32:56,2,2,1,1239,0,1,1
1818-9974,user1,172.16.0.37,3389,disconnected,2025-07-27 14:54:26,14,6,9,439,1,1,2
3923-8165,root,198.51.100.88,3389,failed,2025-07-20 02:11:14,2,6,7,1003,2,1,1
2898-5300,admin,192.168.1.105,3389,connected,2025-07-05 03:38:29,3,5,0,515,0,1,1
1900-6643,admin,203.0.113.76,3389,disconnected,2025-07-11 07:07:03,7,4,0,1244,1,1,0
7660-6441,remote,198.51.100.20,3389,disconnected,2025-07-07 01:16:32,1,0,6,874,1,1,1
2398-8531,bob,198.51.100.68,3389,connected,2025-07-03 17:59:32,17,3,2,981,0,1,0
3643-4741,alice,192.168.1.173,3389,disconnected,2025-07-16 23:56:16,23,2,1,590,1,1,2
2439-9242,rdp_user,198.51.100.98,3389,disconnected,2025-07-27 01:11:48,1,6,5,1014,1,1,1
7966-8954,rdp_user,172.16.0.174,3389,disconnected,2025-07-23 11:57:10,11,2,5,337,1,1,2
8095-5504,alice,203.0.113.85,3389,failed,2025-07-30 01:35:53,1,2,1,1254,2,1,1
8486-5922,test,203.0.113.221,3389,connected,2025-07-01 13:18:06,13,1,8,1152,0,1,0
7813-9330,remote,172.16.0.7,3389,disconnected,2025-07-14 19:12:32,19,0,6,475,1,1,2
2893-5220,admin,203.0.113.82,3389,connected,2025-07-07 13:54:30,13,0,0,1251,0,-1,0
6068-7980,admin,192.168.1.189,3389,failed,2025-07-05 09:22:47,9,5,0,607,2,1,1
3400-8912,remote,10.0.0.90,3389,disconnected,2025-07-27 08:00:49,8,6,6,244,1,1,2
9439-8871,john,198.51.100.238,3389,connected,2025-07-19 01:24:00,1,5,4,916,0,1,1
6387-3926,rdp_user,192.168.1.27,3389,disconnected,2025-07-27 05:19:24,5,6,5,682,1,1,1
4319-2812,guest,192.168.1.160,3389,failed,2025-07-28 01:14:41,1,0,3,576,2,1,1
7715-2265,john,203.0.113.57,3389,failed,2025-07-10 03:46:30,3,3,4,1223,2,1,1
6017-7488,root,10.0.0.138,3389,connected,2025-07-17 09:54:54,9,3,7,43,0,1,2
4113-5470,alice,192.168.1.253,3389,connected,2025-07-29 14:38:54,14,1,1,679,0,1,0
5598-9691,john,10.0.0.3,3389,connected,2025-07-11 03:07:25,3,4,4,177,0,1,1
3861-2468,admin,172.16.0.37,3389,failed,2025-07-13 07:38:42,7,6,0,439,2,1,1
1378-6337,user1,10.0.0.70,3389,disconnected,2025-07-12 23:57:20,23,5,9,222,1,1,2
5349-4019,bob,10.0.0.141,3389,disconnected,2025-07-25 20:30:49,20,4,2,47,1,1,2
6446-9388,rdp_user,172.16.0.24,3389,failed,2025-07-19 17:09:39,17,5,5,410,2,1,2
5052-6226,remote,198.51.100.5,3389,failed,2025-07-17 04:44:53,4,3,6,961,2,1,1
9870-7265,root,10.0.0.45,3389,connected,2025-07-15 11:33:37,11,1,7,194,0,1,2
3741-4241,test,10.0.0.226,3389,connected,2025-07-03 13:54:04,13,3,8,141,0,1,2
1998-9390,test,203.0.113.168,3389,disconnected,2025-07-23 07:29:31,7,2,8,1092,1,1,1
5462-8646,test,203.0.113.81,3389,disconnected,2025-07-06 00:02:35,0,6,8,1250,1,-1,1
3927-7976,john,203.0.113.58,3389,disconnected,2025-07-13 16:14:34,16,6,4,1224,1,1,0
9429-7551,user1,10.0.0.207,3389,connected,2025-07-22 17:50:34,17,1,9,120,0,1,2
4874-8681,john,10.0.0.30,3389,connected,2025-07-16 12:30:35,12,2,4,178,0,1,2
7200-8631,remote,192.168.1.163,3389,disconnected,2025-07-08 12:25:50,12,1,6,579,1,1,2
1877-6171,test,10.0.0.2,3389,connected,2025-07-13 12:33:14,12,6,8,111,0,1,2
8399-2375,john,172.16.0.12,3389,failed,2025-07-13 08:53:37,8,6,4,277,2,1,1
9694-3560,admin,172.16.0.100,3389,failed,2025-07-21 23:01:03,23,0,0,256,2,-1,2
4254-8321,remote,203.0.113.138,3389,disconnected,2025-07-21 06:00:08,6,0,6,1059,1,1,1
7776-3307,test,10.0.0.234,3389,failed,2025-07-28 06:47:22,6,0,8,150,2,1,2
2689-8203,alice,10.0.0.74,3389,failed,2025-07-01 02:26:46,2,1,1,226,2,1,1
9023-5199,admin,192.168.1.204,3389,failed,2025-07-13 18:52:54,18,6,0,625,2,1,0
9542-7976,test,172.16.0.94,3389,failed,2025-07-07 15:24:52,15,0,8,502,2,1,2
8678-4692,remote,172.16.0.216,3389,disconnected,2025-07-14 07:32:26,7,0,6,384,1,1,1
6289-9436,bob,10.0.0.159,3389,disconnected,2025-07-14 19:11:32,19,0,2,66,1,1,2
8997-9450,bob,192.168.1.137,3389,failed,2025-07-15 19:46:26,19,1,2,550,2,1,2
2953-6106,alice,203.0.113.40,3389,connected,2025-07-18 22:43:22,22,4,1,1205,0,1,0
9137-3734,rdp_user,172.16.0.39,3389,disconnected,2025-07-16 02:02:11,2,2,5,441,1,1,1
9826-5116,rdp_user,203.0.113.184,3389,failed,2025-07-10 07:36:37,7,3,5,1110,2,1,0
1188-3388,guest,172.16.0.191,3389,disconnected,2025-07-30 21:30:49,21,2,3,356,1,1,2
7498-5487,user1,172.16.0.6,3389,disconnected,2025-07-17 13:43:10,13,3,9,464,1,1,2
6417-1265,guest,203.0.113.224,3389,failed,2025-07-24 21:07:55,21,3,3,1155,2,1,0
7064-6398,rdp_user,192.168.1.148,3389,failed,2025-07-04 09:41:02,9,4,5,562,2,1,1
8289-7521,test,10.0.0.13,3389,connected,2025-07-30 01:12:40,1,2,8,34,0,1,1
9342-9293,remote,10.0.0.132,3389,failed,2025-07-24 17:30:29,17,3,6,37,2,1,2
6239-8833,admin,172.16.0.19,3389,connected,2025-07-26 11:36:15,11,5,0,354,0,1,2
7477-7524,john,192.168.1.182,3389,failed,2025-07-26 18:50:55,18,5,4,600,2,1,2
2603-9841,user1,198.51.100.141,3389,connected,2025-07-28 14:36:22,14,0,9,809,0,1,0
3338-7528,remote,10.0.0.134,3389,connected,2025-07-25 07:04:15,7,4,6,39,0,1,2
4318-9153,bob,198.51.100.196,3389,connected,2025-07-08 14:37:06,14,1,2,869,0,1,0
4748-3578,admin,10.0.0.42,3389,disconnected,2025-07-20 22:47:20,22,6,0,191,1,-1,2
4101-2576,user1,10.0.0.240,3389,connected,2025-07-01 00:29:16,0,1,9,157,0,1,1
2441-6248,remote,192.168.1.237,3389,connected,2025-07-04 03:27:05,3,4,6,661,0,1,1
1841-2052,root,198.51.100.148,3389,connected,2025-07-11 21:24:26,21,4,7,816,0,1,0
6286-5637,admin,203.0.113.237,3389,connected,2025-07-07 15:20:26,15,0,0,1169,0,1,0
6928-2826,user1,172.16.0.244,3389,connected,2025-07-30 00:07:51,0,2,9,415,0,1,1
7963-8010,bob,172.16.0.77,3389,connected,2025-07-07 02:07:12,2,0,2,483,0,1,1
2719-2413,rdp_user,203.0.113.214,3389,disconnected,2025-07-12 06:25:04,6,5,5,1144,1,1,0
8333-3478,user1,10.0.0.13,3389,disconnected,2025-07-24 05:12:20,5,3,9,34,1,1,2
7260-7765,root,203.0.113.4,3389,connected,2025-07-25 13:12:30,13,4,7,1204,0,1,0
5156-7695,john,192.168.1.157,3389,connected,2025-07-19 08:47:55,8,5,4,572,0,1,1
1271-3255,root,192.168.1.153,3389,connected,2025-07-09 00:59:57,0,2,7,568,0,1,1
3002-6913,admin,172.16.0.112,3389,connected,2025-07-02 19:15:38,19,2,0,269,0,1,2
7718-9700,bob,203.0.113.216,3389,connected,2025-07-24 01:04:25,1,3,2,1146,0,1,1
9459-4389,test,203.0.113.58,3389,failed,2025-07-30 01:19:33,1,2,8,1224,2,1,1
8696-5466,john,203.0.113.100,3389,failed,2025-07-10 03:59:21,3,3,4,1018,2,1,1
1940-9920,test,203.0.113.100,3389,failed,2025-07-17 03:21:12,3,3,8,1018,2,1,1
8011-5993,john,198.51.100.159,3389,disconnected,2025-07-15 00:32:21,0,1,4,828,1,1,1
1693-1019,alice,203.0.113.204,3389,failed,2025-07-25 21:23:59,21,4,1,1133,2,1,0
8906-1630,remote,198.51.100.193,3389,failed,2025-07-09 02:25:13,2,2,6,866,2,1,1
9800-2170,alice,172.16.0.65,3389,failed,2025-07-28 02:01:09,2,0,1,470,2,1,1
7885-6736,alice,198.51.100.27,3389,connected,2025-07-06 23:06:26,23,6,1,936,0,1,0
1546-6118,rdp_user,192.168.1.166,3389,disconnected,2025-07-08 03:32:00,3,1,5,582,1,1,1
6272-2988,alice,192.168.1.39,3389,disconnected,2025-07-02 06:47:17,6,2,1,695,1,1,1
4677-6079,bob,203.0.113.85,3389,disconnected,2025-07-06 20:18:27,20,6,2,1254,1,1,0
4478-9124,user1,198.51.100.53,3389,connected,2025-07-17 16:44:38,16,3,9,965,0,1,0
2941-6050,bob,192.168.1.252,3389,disconnected,2025-07-26 02:58:06,2,5,2,678,1,1,1
7623-7134,test,10.0.0.185,3389,failed,2025-07-04 19:52:39,19,4,8,95,2,1,2
1284-1368,root,172.16.0.131,3389,failed,2025-07-17 06:46:20,6,3,7,290,2,1,1
8388-2715,bob,203.0.113.92,3389,failed,2025-07-25 03:04:56,3,4,2,1262,2,1,1
1385-6178,alice,203.0.113.97,3389,connected,2025-07-24 04:19:08,4,3,1,1267,0,1,1
8853-8485,test,203.0.113.92,3389,failed,2025-07-28 19:20:50,19,0,8,1262,2,-1,0
5592-1875,user1,203.0.113.195,3389,disconnected,2025-07-10 02:06:22,2,3,9,1122,1,1,1
2135-4471,alice,172.16.0.104,3389,disconnected,2025-07-17 16:43:20,16,3,1,260,1,1,2
1420-6678,root,172.16.0.11,3389,failed,2025-07-05 04:27:22,4,5,7,266,2,1,1
1238-8279,remote,192.168.1.221,3389,failed,2025-07-28 02:40:32,2,0,6,644,2,1,1
4004-9403,root,192.168.1.240,3389,disconnected,2025-07-24 14:02:34,14,3,7,665,1,1,2
9935-1541,bob,203.0.113.99,3389,failed,2025-07-09 18:43:47,18,2,2,1269,2,1,0
9354-1790,guest,172.16.0.13,3389,disconnected,2025-07-23 00:28:37,0,2,3,288,1,1,1
