session_id,username,remote_address,remote_port,status,timestamp
2034-6509,remote,172.16.0.208,3389,disconnected,2025-07-28 09:40:23
9343-2606,remote,203.0.113.40,3389,connected,2025-07-24 06:45:47
6206-1603,guest,198.51.100.250,3389,disconnected,2025-07-16 10:11:08
1900-4285,test,203.0.113.252,3389,disconnected,2025-07-25 00:13:31
7720-8947,john,198.51.100.161,3389,failed,2025-07-21 08:56:19
9221-3681,bob,192.168.1.122,3389,failed,2025-07-22 07:12:47
5493-3473,rdp_user,192.168.1.43,3389,failed,2025-07-21 02:34:29
3430-7606,guest,10.0.0.198,3389,connected,2025-07-22 14:00:03
2982-1312,root,203.0.113.24,3389,disconnected,2025-07-09 03:59:10
2756-3119,alice,10.0.0.71,3389,failed,2025-07-20 16:33:24
7574-7062,guest,10.0.0.83,3389,disconnected,2025-07-14 17:15:16
5805-7340,rdp_user,198.51.100.214,3389,failed,2025-07-03 21:33:01
1967-1032,bob,203.0.113.129,3389,disconnected,2025-07-11 01:31:50
6501-1349,guest,172.16.0.179,3389,disconnected,2025-07-23 12:02:08
5014-7715,bob,172.16.0.103,3389,disconnected,2025-07-09 04:52:29
5876-1064,remote,198.51.100.81,3389,disconnected,2025-07-12 15:51:31
9511-6804,alice,192.168.1.192,3389,disconnected,2025-07-12 19:09:32
1171-8978,guest,203.0.113.125,3389,connected,2025-07-09 20:39:36
2228-9213,user1,172.16.0.110,3389,disconnected,2025-07-23 18:02:21
9939-8366,test,10.0.0.187,3389,connected,2025-07-10 12:39:57
7651-4108,alice,172.16.0.160,3389,connected,2025-07-27 00:35:24
2796-3689,rdp_user,192.168.1.230,3389,disconnected,2025-07-17 01:47:23
5459-9775,test,192.168.1.47,3389,connected,2025-07-14 04:25:38
5092-4308,john,192.168.1.80,3389,failed,2025-07-06 21:00:40
2058-6349,rdp_user,10.0.0.96,3389,disconnected,2025-07-28 00:54:32
5149-2599,guest,172.16.0.160,3389,failed,2025-07-20 04:43:50
5042-1136,test,192.168.1.181,3389,disconnected,2025-07-15 13:23:41
9439-3389,admin,172.16.0.123,3389,connected,2025-07-08 17:29:32
7383-1936,alice,203.0.113.184,3389,connected,2025-07-28 05:22:01
5339-3467,user1,10.0.0.66,3389,failed,2025-07-30 17:21:25
5052-6954,bob,172.16.0.9,3389,connected,2025-07-22 09:23:20
6617-5425,user1,192.168.1.246,3389,disconnected,2025-07-05 05:40:09
9910-1421,admin,192.168.1.81,3389,failed,2025-07-10 20:07:17
8167-8941,user1,203.0.113.15,3389,connected,2025-07-16 12:05:59
4589-6882,user1,172.16.0.96,3389,connected,2025-07-12 23:32:22
3900-5515,alice,192.168.1.175,3389,connected,2025-07-22 03:24:10
6707-5940,test,172.16.0.195,3389,connected,2025-07-17 16:49:10
8559-7238,user1,192.168.1.161,3389,disconnected,2025-07-16 21:26:44
5600-8206,root,198.51.100.190,3389,disconnected,2025-07-19 08:55:47
1108-8512,user1,203.0.113.82,3389,connected,2025-07-22 00:07:00
1180-5740,test,172.16.0.166,3389,connected,2025-07-09 19:35:07
2720-6965,guest,203.0.113.185,3389,disconnected,2025-07-21 07:23:50
3092-1864,test,192.168.1.170,3389,failed,2025-07-12 06:15:05
9760-2055,admin,198.51.100.126,3389,failed,2025-07-25 17:14:57
4672-5363,test,192.168.1.230,3389,failed,2025-07-01 03:32:57
5656-3477,guest,198.51.100.199,3389,disconnected,2025-07-01 09:23:17
7520-1535,alice,203.0.113.71,3389,connected,2025-07-02 02:32:56
1818-9974,user1,172.16.0.37,3389,disconnected,2025-07-27 14:54:26
3923-8165,root,198.51.100.88,3389,failed,2025-07-20 02:11:14
2898-5300,admin,192.168.1.105,3389,connected,2025-07-05 03:38:29
1900-6643,admin,203.0.113.76,3389,disconnected,2025-07-11 07:07:03
7660-6441,remote,198.51.100.20,3389,disconnected,2025-07-07 01:16:32
2398-8531,bob,198.51.100.68,3389,connected,2025-07-03 17:59:32
3643-4741,alice,192.168.1.173,3389,disconnected,2025-07-16 23:56:16
2439-9242,rdp_user,198.51.100.98,3389,disconnected,2025-07-27 01:11:48
7966-8954,rdp_user,172.16.0.174,3389,disconnected,2025-07-23 11:57:10
8095-5504,alice,203.0.113.85,3389,failed,2025-07-30 01:35:53
8486-5922,test,203.0.113.221,3389,connected,2025-07-01 13:18:06
7813-9330,remote,172.16.0.7,3389,disconnected,2025-07-14 19:12:32
2893-5220,admin,203.0.113.82,3389,connected,2025-07-07 13:54:30
6068-7980,admin,192.168.1.189,3389,failed,2025-07-05 09:22:47
3400-8912,remote,10.0.0.90,3389,disconnected,2025-07-27 08:00:49
9439-8871,john,198.51.100.238,3389,connected,2025-07-19 01:24:00
6387-3926,rdp_user,192.168.1.27,3389,disconnected,2025-07-27 05:19:24
4319-2812,guest,192.168.1.160,3389,failed,2025-07-28 01:14:41
7715-2265,john,203.0.113.57,3389,failed,2025-07-10 03:46:30
6017-7488,root,10.0.0.138,3389,connected,2025-07-17 09:54:54
4113-5470,alice,192.168.1.253,3389,connected,2025-07-29 14:38:54
5598-9691,john,10.0.0.3,3389,connected,2025-07-11 03:07:25
3861-2468,admin,172.16.0.37,3389,failed,2025-07-13 07:38:42
1378-6337,user1,10.0.0.70,3389,disconnected,2025-07-12 23:57:20
5349-4019,bob,10.0.0.141,3389,disconnected,2025-07-25 20:30:49
6446-9388,rdp_user,172.16.0.24,3389,failed,2025-07-19 17:09:39
5052-6226,remote,198.51.100.5,3389,failed,2025-07-17 04:44:53
9870-7265,root,10.0.0.45,3389,connected,2025-07-15 11:33:37
3741-4241,test,10.0.0.226,3389,connected,2025-07-03 13:54:04
1998-9390,test,203.0.113.168,3389,disconnected,2025-07-23 07:29:31
5462-8646,test,203.0.113.81,3389,disconnected,2025-07-06 00:02:35
3927-7976,john,203.0.113.58,3389,disconnected,2025-07-13 16:14:34
9429-7551,user1,10.0.0.207,3389,connected,2025-07-22 17:50:34
4874-8681,john,10.0.0.30,3389,connected,2025-07-16 12:30:35
7200-8631,remote,192.168.1.163,3389,disconnected,2025-07-08 12:25:50
1877-6171,test,10.0.0.2,3389,connected,2025-07-13 12:33:14
8399-2375,john,172.16.0.12,3389,failed,2025-07-13 08:53:37
9694-3560,admin,172.16.0.100,3389,failed,2025-07-21 23:01:03
4254-8321,remote,203.0.113.138,3389,disconnected,2025-07-21 06:00:08
7776-3307,test,10.0.0.234,3389,failed,2025-07-28 06:47:22
2689-8203,alice,10.0.0.74,3389,failed,2025-07-01 02:26:46
9023-5199,admin,192.168.1.204,3389,failed,2025-07-13 18:52:54
9542-7976,test,172.16.0.94,3389,failed,2025-07-07 15:24:52
8678-4692,remote,172.16.0.216,3389,disconnected,2025-07-14 07:32:26
6289-9436,bob,10.0.0.159,3389,disconnected,2025-07-14 19:11:32
8997-9450,bob,192.168.1.137,3389,failed,2025-07-15 19:46:26
2953-6106,alice,203.0.113.40,3389,connected,2025-07-18 22:43:22
9137-3734,rdp_user,172.16.0.39,3389,disconnected,2025-07-16 02:02:11
9826-5116,rdp_user,203.0.113.184,3389,failed,2025-07-10 07:36:37
1188-3388,guest,172.16.0.191,3389,disconnected,2025-07-30 21:30:49
7498-5487,user1,172.16.0.6,3389,disconnected,2025-07-17 13:43:10
6417-1265,guest,203.0.113.224,3389,failed,2025-07-24 21:07:55
7064-6398,rdp_user,192.168.1.148,3389,failed,2025-07-04 09:41:02
8289-7521,test,10.0.0.13,3389,connected,2025-07-30 01:12:40
9342-9293,remote,10.0.0.132,3389,failed,2025-07-24 17:30:29
6239-8833,admin,172.16.0.19,3389,connected,2025-07-26 11:36:15
7477-7524,john,192.168.1.182,3389,failed,2025-07-26 18:50:55
2603-9841,user1,198.51.100.141,3389,connected,2025-07-28 14:36:22
3338-7528,remote,10.0.0.134,3389,connected,2025-07-25 07:04:15
4318-9153,bob,198.51.100.196,3389,connected,2025-07-08 14:37:06
4748-3578,admin,10.0.0.42,3389,disconnected,2025-07-20 22:47:20
4101-2576,user1,10.0.0.240,3389,connected,2025-07-01 00:29:16
2441-6248,remote,192.168.1.237,3389,connected,2025-07-04 03:27:05
